"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.619960542E0,-1.018646732E-1,2.659916580E-1,6.687741280E-1,7.269021997E-1
1.629976542E0,-1.043768376E-1,2.476805449E-1,6.151551008E-1,6.713091498E-1
1.639992542E0,-9.931705892E-2,2.289027572E-1,5.561828017E-1,6.095897468E-1
1.650008542E0,-9.156646580E-2,2.028077692E-1,4.906552136E-1,5.387559257E-1
1.660024542E0,-8.315638453E-2,1.785365641E-1,4.213247597E-1,4.650858439E-1
1.670040542E0,-7.462281734E-2,1.562323123E-1,3.449527621E-1,3.859656829E-1
1.680056542E0,-5.440771207E-2,1.264764816E-1,2.691496313E-1,3.023210603E-1
1.690072542E0,-4.431805760E-2,9.698916227E-2,1.924585998E-1,2.200256814E-1
1.700088542E0,-2.669321373E-2,6.634777039E-2,1.103474796E-1,1.314957054E-1
1.710104542E0,-6.729891058E-3,4.373940080E-2,2.776977234E-2,5.224544834E-2
1.720120542E0,1.243500225E-2,1.350347418E-2,-5.231024325E-2,5.543766450E-2
1.730136542E0,3.610784188E-2,-1.408980414E-2,-1.349627823E-1,1.404181307E-1
1.740152542E0,5.552965030E-2,-3.673397750E-2,-2.128745466E-1,2.230437172E-1
1.750168542E0,7.097332180E-2,-6.036101282E-2,-2.933824360E-1,3.078212437E-1
1.760184542E0,9.011773765E-2,-8.587162197E-2,-3.629323542E-1,3.836861163E-1
1.770199542E0,1.014641374E-1,-1.114582121E-1,-4.348387718E-1,4.602202318E-1
1.780215542E0,1.152324528E-1,-1.350898743E-1,-4.995097518E-1,5.301299694E-1
1.790231542E0,1.203142926E-1,-1.615744829E-1,-5.600047708E-1,5.951362750E-1
1.800247542E0,1.245072111E-1,-1.853555590E-1,-6.148548722E-1,6.541446650E-1
1.810263542E0,1.280705333E-1,-2.094886005E-1,-6.593008637E-1,7.035376068E-1
1.820279542E0,1.227185205E-1,-2.287839204E-1,-7.017530203E-1,7.482374082E-1
1.830295542E0,1.197189987E-1,-2.500599027E-1,-7.332794666E-1,7.839396467E-1
1.840311542E0,1.090706065E-1,-2.698062658E-1,-7.569636106E-1,8.109782526E-1
1.850327542E0,9.826643020E-2,-2.866150737E-1,-7.758049369E-1,8.328732148E-1
1.860343542E0,8.048827946E-2,-3.049552143E-1,-7.825957537E-1,8.437607241E-1
1.870359542E0,6.285362691E-2,-3.219789565E-1,-7.811611295E-1,8.472506931E-1
1.880375542E0,4.016722739E-2,-3.354641497E-1,-7.725659609E-1,8.432127643E-1
1.890391542E0,1.759347506E-2,-3.503874242E-1,-7.546170354E-1,8.321825206E-1
1.900407542E0,-5.030792207E-3,-3.640152514E-1,-7.274668217E-1,8.134742705E-1
1.910423542E0,-2.664607204E-2,-3.756031990E-1,-6.896267533E-1,7.857307651E-1
1.920439542E0,-5.267005786E-2,-3.840996623E-1,-6.466576457E-1,7.539713498E-1
1.930455542E0,-7.460757345E-2,-3.928854465E-1,-5.951300263E-1,7.170111661E-1
1.940471542E0,-9.841781855E-2,-4.002306163E-1,-5.366168022E-1,6.766300360E-1
1.950487542E0,-1.170474291E-1,-4.061758518E-1,-4.737209082E-1,6.348940243E-1
1.960503542E0,-1.351654530E-1,-4.130404294E-1,-4.019219279E-1,5.919572046E-1
1.970519542E0,-1.497915387E-1,-4.198341370E-1,-3.247754872E-1,5.515227327E-1
1.980535542E0,-1.613752693E-1,-4.242626727E-1,-2.459352762E-1,5.162605476E-1
1.990551542E0,-1.713895500E-1,-4.234802425E-1,-1.633189619E-1,4.851628355E-1
2.000566542E0,-1.718431413E-1,-4.271170199E-1,-7.734620571E-2,4.668419962E-1
2.010582542E0,-1.727792472E-1,-4.278509915E-1,6.601694040E-3,4.614680071E-1
2.020598542E0,-1.674410850E-1,-4.240645766E-1,8.905667067E-2,4.645410344E-1
2.030614542E0,-1.605685353E-1,-4.259951115E-1,1.753185987E-1,4.878429057E-1
2.040630542E0,-1.466803402E-1,-4.213507771E-1,2.552282214E-1,5.139971251E-1
